ID;Waktu;Ketinggian;Temperatur;Kelembapan;Tekanan;Arah Angin;Kecepatan Angin;Lintang;Bujur
MAHESWARA_GSBC2020;20:41:44;0.01;29.4;70.4;99766.4;0;0.0;-7.771.204;110.373.360
7;;;;;;;;;
MAHESWARA_GSBC2020;20:41:47;0.01;29.4;70.6;99767.3;270;0.8;-7.771.204;110.373.360
MAHESWARA_GSBC2020;20:41:48;0.03;29.4;70.4;99765.4;94;0.8;-7.771.204;110.373.367
MAHESWARA_GSBC2020;20:41:49;0.00;29.4;70.4;99768.7;0;0.0;-7.771.204;110.373.367
MAHESWARA_GSBC2020;20:41:50;0.02;29.4;70.7;99765.6;180;0.1;-7.771.205;110.373.367
MAHESWARA_GSBC2020;20:41:51;0.00;29.4;70.9;99767.4;270;0.8;-7.771.205;110.373.360
MAHESWARA_GSBC2020;20:41:52;0.05;29.4;70.3;99768.2;90;0.8;-7.771.205;110.373.367
MAHESWARA_GSBC2020;20:41:53;0.11;29.4;70.3;99766.8;266;0.8;-7.771.205;110.373.360
MAHESWARA_GSBC2020;20:41:54;0.05;29.4;69.6;99766.4;180;0.1;-7.771.206;110.373.360
MAHESWARA_GSBC2020;20:41:55;0.04;29.4;70.2;99766.1;101;0.9;-7.771.207;110.373.367
MAHESWARA_GSBC2020;20:41:56;0.03;29.4;69.8;99765.8;180;0.1;-7.771.208;110.373.367
MAHESWARA_GSBC2020;20:41:57;0.04;29.4;70.0;99766.7;0;0.1;-7.771.207;110.373.367
MAHESWARA_GSBC2020;20:41:58;0.03;29.4;70.8;99768.3;0;0.1;-7.771.206;110.373.367
MAHESWARA_GSBC2020;20:41:59;0.01;29.4;70.7;99767.3;0;0.1;-7.771.205;110.373.367
MAHESWARA_GSBC2020;20:42:00;0.00;29.4;70.2;99768.1;0;0.0;-7.771.205;110.373.367
MAHESWARA_GSBC2020;20:42:01;0.04;29.4;70.4;99768.2;0;0.1;-7.771.205;110.373.367
MAHESWARA_GSBC2020;20:42:02;0.00;29.4;70.3;99768.7;0;0.1;-7.771.204;110.373.367
MAHESWARA_GSBC2020;20:42:03;0.00;29.4;69.9;99769.0;0;0.0;-7.771.204;110.373.367
MAHESWARA_GSBC2020;20:42:04;0.03;29.4;70.3;99767.3;0;0.1;-7.771.204;110.373.367
MAHESWARA_GSBC2020;20:42:05;0.10;29.4;69.9;99766.9;0;0.1;-7.771.203;110.373.367
MAHESWARA_GSBC2020;20:42:06;0.04;29.4;69.7;99768.2;0;0.0;-7.771.203;110.373.367
MAHESWARA_GSBC2020;20:42:07;0.07;29.4;69.9;99767.3;180;0.1;-7.771.204;110.373.367
MAHESWARA_GSBC2020;20:42:08;0.07;29.4;70.3;99769.7;180;0.1;-7.771.204;110.373.367
MAHESWARA_GSBC2020;20:42:09;0.07;29.4;70.6;99768.1;0;0.0;-7.771.204;110.373.367
MAHESWARA_GSBC2020;20:42:10;0.11;29.4;70.4;99767.1;0;0.0;-7.771.204;110.373.367
MAHESWARA_GSBC2020;20:42:11;0.07;29.4;70.7;99766.3;180;0.1;-7.771.205;110.373.367
MAHESWARA_GSBC2020;20:42:12;0.13;29.4;71.6;99766.6;0;0.0;-7.771.205;110.373.367
MAHESWARA_GSBC2020;20:42:13;0.05;29.4;71.6;99769.6;180;0.1;-7.771.205;110.373.367
MAHESWARA_GSBC2020;20:42:14;0.02;29.4;71.2;99768.6;180;0.1;-7.771.206;110.373.367
MAHESWARA_GSBC2020;20:42:15;0.03;29.4;70.8;99768.3;180;0.1;-7.771.207;110.373.367
MAHESWARA_GSBC2020;20:42:16;0.01;29.4;70.4;99768.7;180;0.1;-7.771.207;110.373.367
MAHESWARA_GSBC2020;20:42:17;0.02;29.4;70.6;99767.2;180;0.1;-7.771.208;110.373.367
MAHESWARA_GSBC2020;20:42:18;0.07;29.4;70.5;99768.6;0;0.0;-7.771.208;110.373.367
MAHESWARA_GSBC2020;20:42:19;0.01;29.5;70.5;99770.0;180;0.1;-7.771.208;110.373.367
MAHESWARA_GSBC2020;20:42:20;0.05;29.5;70.4;99769.5;0;0.1;-7.771.208;110.373.367
MAHESWARA_GSBC2020;20:42:21;0.02;29.5;70.4;99770.0;0;0.0;-7.771.208;110.373.367
MAHESWARA_GSBC2020;20:42:22;0.00;29.5;70.5;99769.0;0;0.1;-7.771.207;110.373.367
MAHESWARA_GSBC2020;20:42:23;0.02;29.4;70.3;99769.6;0;0.0;-7.771.207;110.373.367
MAHESWARA_GSBC2020;20:42:24;0.10;29.4;70.3;99768.5;0;0.0;-7.771.207;110.373.367
MAHESWARA_GSBC2020;20:42:25;0.04;29.5;70.2;99770.1;0;0.1;-7.771.207;110.373.367
MAHESWARA_GSBC2020;20:42:26;0.01;29.5;70.8;99770.8;0;0.1;-7.771.206;110.373.367
MAHESWARA_GSBC2020;20:42:27;0.00;29.5;70.6;99770.0;0;0.0;-7.771.206;110.373.367
MAHESWARA_GSBC2020;20:42:28;0.10;29.5;70.7;99767.6;0;0.1;-7.771.206;110.373.367
MAHESWARA_GSBC2020;20:42:29;0.04;29.5;70.8;99768.9;0;0.1;-7.771.205;110.373.367
MAHESWARA_GSBC2020;20:42:30;0.07;29.5;70.9;99769.3;0;0.1;-7.771.204;110.373.367
MAHESWARA_GSBC2020;20:42:31;0.01;29.5;71.0;99769.5;0;0.1;-7.771.204;110.373.367
MAHESWARA_GSBC2020;20:42:32;0.03;29.5;70.1;99769.3;0;0.1;-7.771.203;110.373.367
MAHESWARA_GSBC2020;20:42:33;0.06;29.5;69.7;99769.1;0;0.1;-7.771.203;110.373.367
MAHESWARA_GSBC2020;20:42:34;0.03;29.5;70.1;99770.5;0;0.1;-7.771.202;110.373.367
MAHESWARA_GSBC2020;20:42:35;0.06;29.5;70.4;99769.4;0;0.0;-7.771.202;110.373.367
MAHESWARA_GSBC2020;20:42:36;0.05;29.5;70.5;99769.9;180;0.1;-7.771.203;110.373.367
MAHESWARA_GSBC2020;20:42:37;0.04;29.5;70.3;99768.2;180;0.1;-7.771.203;110.373.367
MAHESWARA_GSBC2020;20:42:38;0.11;29.5;70.4;99768.9;0;0.0;-7.771.203;110.373.367
MAHESWARA_GSBC2020;20:42:39;0.05;29.5;70.4;99768.2;274;0.8;-7.771.203;110.373.360
MAHESWARA_GSBC2020;20:42:40;0.05;29.5;70.6;99768.7;0;0.1;-7.771.202;110.373.360
MAHESWARA_GSBC2020;20:42:41;0.05;29.5;70.4;99770.0;0;0.0;-7.771.202;110.373.360
MAHESWARA_GSBC2020;20:42:42;0.00;29.5;70.3;99771.0;0;0.0;-7.771.202;110.373.360
MAHESWARA_GSBC2020;20:42:43;0.00;29.4;70.3;99772.0;180;0.1;-7.771.203;110.373.360
MAHESWARA_GSBC2020;20:42:44;0.11;29.4;70.3;99769.9;180;0.1;-7.771.203;110.373.360
MAHESWARA_GSBC2020;20:42:45;0.07;29.4;70.2;99768.5;0;0.0;-7.771.203;110.373.360
MAHESWARA_GSBC2020;20:42:46;0.07;29.4;70.3;99770.5;0;0.1;-7.771.203;110.373.360
MAHESWARA_GSBC2020;20:42:47;0.02;29.4;70.3;99769.9;0;0.0;-7.771.203;110.373.360
MAHESWARA_GSBC2020;20:42:48;0.16;29.4;70.3;99769.7;0;0.1;-7.771.202;110.373.360
MAHESWARA_GSBC2020;20:42:49;0.13;29.4;70.3;99769.5;0;0.0;-7.771.202;110.373.360
MAHESWARA_GSBC2020;20:42:50;0.06;29.5;70.3;99770.9;0;0.1;-7.771.201;110.373.360
MAHESWARA_GSBC2020;20:42:51;0.01;29.4;69.9;99771.0;0;0.0;-7.771.201;110.373.360
MAHESWARA_GSBC2020;20:42:52;0.13;29.4;70.2;99768.1;0;0.0;-7.771.201;110.373.360
MAHESWARA_GSBC2020;20:42:53;0.18;29.4;70.5;99770.1;180;0.1;-7.771.202;110.373.360
MAHESWARA_GSBC2020;20:42:54;0.17;29.4;70.2;99769.2;0;0.0;-7.771.202;110.373.360
MAHESWARA_GSBC2020;20:42:55;0.08;29.4;70.4;99769.9;0;0.0;-7.771.202;110.373.360
