ID;Waktu;Ketinggian;Temperatur;Kelembap;;;;;
MAHESWARA_GSBC2020;17:08:06;0.13;32.0;59.4;99538.4;122;1.0;-7.771.241;110.373.383
MAHESWARA_GSBC2020;17:08:07;0.11;32.0;59.6;99540.2;284;2.6;-7.771.235;110.373.360
MAHESWARA_GSBC2020;17:08:08;0.15;32.0;59.2;99538.0;282;1.7;-7.771.232;110.373.344
MAHESWARA_GSBC2020;17:08:09;0.14;32.0;59.0;99539.1;281;2.6;-7.771.228;110.373.322
MAHESWARA_GSBC2020;17:08:10;0.09;32.0;59.5;99539.7;277;0.8;-7.771.227;110.373.314
MAHESWARA_GSBC2020;17:08:11;0.12;32.0;59.3;99538.6;274;0.8;-7.771.226;110.373.306
MAHESWARA_GSBC2020;17:08:12;0.09;32.0;59.0;99539.7;277;1.7;-7.771.224;110.373.291
MAHESWARA_GSBC2020;17:08:13;0.11;32.0;58.9;99540.5;0;0.1;-7.771.224;110.373.291
MAHESWARA_GSBC2020;17:08:14;0.08;32.0;59.2;99538.2;274;1.7;-7.771.223;110.373.276
MAHESWARA_GSBC2020;17:08:15;0.21;32.0;59.3;99537.2;294;0.9;-7.771.220;110.373.268
MAHESWARA_GSBC2020;17:08:16;0.16;32.0;59.3;99539.1;256;0.9;-7.771.222;110.373.260
MAHESWARA_GSBC2020;17:08:17;0.16;32.0;59.2;99537.1;180;0.1;-7.771.222;110.373.260
MAHESWARA_GSBC2020;17:08:18;0.07;32.0;59.2;99537.3;0;0.0;-7.771.222;110.373.260
MAHESWARA_GSBC2020;17:08:19;0.20;32.0;59.0;99538.0;180;0.4;-7.771.225;110.373.260
MAHESWARA_GSBC2020;17:08:20;0.07;32.0;59.0;99538.5;180;0.4;-7.771.229;110.373.260
MAHESWARA_GSBC2020;17:08:21;0.15;32.0;58.9;99539.3;274;0.8;-7.771.228;110.373.253
MAHESWARA_GSBC2020;17:08:22;0.14;32.0;59.2;99537.0;0;0.0;-7.771.228;110.373.253
MAHESWARA_GSBC2020;17:08:23;0.12;32.0;59.7;99538.1;0;0.2;-7.771.227;110.373.253
MAHESWARA_GSBC2020;17:08:24;0.16;32.0;59.6;99536.6;288;0.9;-7.771.224;110.373.245
MAHESWARA_GSBC2020;17:08:25;0.07;32.0;59.4;99540.3;266;0.8;-7.771.225;110.373.238
MAHESWARA_GSBC2020;17:08:26;0.03;32.0;59.9;99540.1;108;0.9;-7.771.227;110.373.245
